鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號,
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year,month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
南屯區,房地(土地+建物)+車位,臺中市南屯區大墩十一街271~300號,16.71,住,,,1070201,土地1建物2車位1,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,800319,109.91,3,2,2,有,有,6200000,56410,升降機械,0,0,,RPTOMLQLMHNFFCB48CA,
南屯區,房地(土地+建物)+車位,臺中市南屯區大業路151~180號,14.39,住,,,1070301,土地1建物1車位1,十層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,800206,189.45,5,2,3,有,有,11000000,58066,坡道平面,0,0,,RPVPMLQLMHNFFCB78CA,
西屯區,房地(土地+建物)+車位,臺中市西屯區至善路61~90號,9.69,住,,,1070301,土地1建物1車位1,六層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840830,113.26,2,2,1,有,有,7400000,65336,坡道機械,0,0,,RPPNMLLJNHNFFCB37CA,
南屯區,房地(土地+建物)+車位,臺中市南屯區大墩十一街301~330號,29.21,住,,,1070301,土地1建物1車位3,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,980506,278.89,4,2,2,有,有,24500000,87848,坡道平面,61.25,0,,RPPSMLKKNHNFFCB87CA,
南屯區,房地(土地+建物),臺中市南屯區黎明東街151~180號,16.97,住,,,1070201,土地1建物1車位0,一層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,870915,110.43,3,1,1,有,有,6300000,57050,,0,0,,RPOSMLTJNHNFFCB58CA,
南屯區,房地(土地+建物),臺中市南屯區龍富十八路121~150號,223.76,住,,,1070101,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1050108,429.81,4,2,5,有,無,71680000,166771,,0,0,,RPSPMLOJNHNFFCB18CA,
西屯區,房地(土地+建物),臺中市西屯區文心路三段301~330號,12.18,住,,,1070201,土地1建物1車位0,十二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,811205,116.69,2,2,1,有,有,5200000,44563,,0,0,,RPSOMLOJNHNFFCB08CA,
神岡區,土地,社南段151~180地號,36.5,住,,,1070301,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,1324950,36300,,0,0,畸零地或有合併使用之交易。,RPPNMLQKMHNFFDB97CA,
豐原區,房地(土地+建物),臺中市豐原區中陽路211~240號,78,住,,,1070301,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,650610,111.93,3,2,2,有,無,6700000,59859,,0,0,,RPWNMLQKMHNFFDB68CA,
豐原區,房地(土地+建物),臺中市豐原區向陽路331~360號,35,住,,,1070301,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,791102,114.5,6,2,4,有,無,7000000,61135,,0,0,親友、員工或其他特殊關係間之交易。,RPXNMLQKMHNFFDB78CA,
豐原區,房地(土地+建物),臺中市豐原區向陽路301~330號,23.47,住,,,1070301,土地1建物1車位0,一層,十一層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,881216,163.22,3,2,2,有,無,8500000,52077,,0,0,,RPVNMLRKMHNFFDB68CA,
后里區,土地,中社段151~180地號,211.62,,特定農業區,甲種建築用地,1070301,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,2000000,9451,,0,0,共有人間持分買賣.出賣人無實際使用土地.共有人買回土地.,RPXNMLRKMHNFFDB88CA,
豐原區,土地,豐陽段931~960地號,218.88,其他,,,1070301,土地6建物0車位0,,,其他,,,,0,0,0,0,有,無,1390466,6353,,0,0,親友、員工或其他特殊關係間之交易。(包含)公共設施保留地之交易。,RPOOMLRKMHNFFDB08CA,
西屯區,房地(土地+建物)+車位,臺中市西屯區上石路181巷1~30號,16.45,商,,,1070301,土地5建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,951003,169.85,3,2,2,有,有,13100000,77127,坡道平面,28.06,0,含增建或未登記建物。,RPPVMLRJNHNFFCB78CA,
豐原區,土地,車路墘段溝子墘小段1~30地號,2,農,,,1070201,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,40160,20080,,0,0,,RPXOMLQKMHNFFDB88CA,
豐原區,土地,車路墘段溝子墘小段1~30地號,3,農,,,1070201,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,60240,20080,,0,0,,RPOPMLQKMHNFFDB08CA,
豐原區,土地,車路墘段溝子墘小段1~30地號,7,農,,,1070201,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,140560,20080,,0,0,,RPPPMLQKMHNFFDB18CA,
豐原區,房地(土地+建物),臺中市豐原區西勢路151~180號,111,住,,,1070301,土地1建物1車位0,一層，二層，騎樓,二層,店面(店鋪),住商用,加強磚造,631210,167.46,2,1,2,有,無,8500000,50758,,0,0,親友、員工或其他特殊關係間之交易。,RPWNMLTKMHNFFDB98CA,
豐原區,房地(土地+建物)+車位,臺中市豐原區圓環西路61~90號,21.34,住,,,1060501,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061221,154.94,3,2,2,有,有,7340000,49159,坡道平面,30.04,1200000,,RPVOMLSKMHNFFDB88CA,
豐原區,房地(土地+建物)+車位,臺中市豐原區圓環西路61~90號,21.07,住,,,1060601,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061221,154.23,3,2,2,有,有,7050000,47508,坡道平面,30.04,1150000,,RPWOMLSKMHNFFDB98CA,
豐原區,土地,車路墘段溝子墘小段1~30地號,11,農,,,1070201,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,220880,20080,,0,0,,RPSPMLSKMHNFFDB68CA,
外埔區,房地(土地+建物),臺中市外埔區二崁路229巷1~30號,860.14,,特定農業區,甲種建築用地,1070401,土地1建物1車位0,全,一層,透天厝,住家用,鋼筋混凝土造,971201,133.92,3,2,2,有,無,18161262,135613,,0,0,受債權債務影響之交易。,RPRNMLRKMHNFFEB38CA,
大甲區,房地(土地+建物),臺中市大甲區新政路116巷1~30號,88,住,,,1070301,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,650830,89.1,4,2,3,有,無,5100000,57239,,0,0,,RPQNMLKLMHNFFEB67CA,
清水區,房地(土地+建物),臺中市清水區三田路1~30號,114,農,,,1070301,土地1建物1車位0,全,二層,透天厝,農舍,加強磚造,740120,115.9,2,2,1,有,無,2600000,22433,,0,0,,RPTNMLNKMHNFFFB28CA,
梧棲區,土地,下寮段331~360地號,329.67,其他,,,1070301,土地4建物0車位0,,,其他,,,,0,0,0,0,有,無,5530700,16776,,0,0,,RPOOMLNKMHNFFFB87CA,
大甲區,房地(土地+建物),臺中市大甲區新美街41巷1~30號,57,住,,,1061201,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,570901,64.16,2,2,1,有,無,2950000,45979,,0,0,,RPPNMLOLMHNFFEB97CA,
大甲區,房地(土地+建物),臺中市大甲區興安路30巷1~30號,45,住,,,1070301,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,600130,46.54,4,2,1,有,無,2200000,47271,,0,0,親友、員工或其他特殊關係間之交易。,RPQNMLOLMHNFFEB08CA,
清水區,土地,高美中段421~450地號,67,農,,,1070301,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,222855,3326,,0,0,,RPVNMLOLMHNFFFB68CA,
沙鹿區,房地(土地+建物),臺中市沙鹿區北勢東路211~240號,153,住,,,1070201,土地2建物2車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,900119,301.7,28,0,28,有,無,19800000,65628,,0,0,兩間打通,RPOOMLNJNHNFFFB87CA,
清水區,房地(土地+建物),臺中市清水區和平路421~450號,101,住,,,1070301,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1060629,215.65,4,3,3,有,無,9600000,44517,,0,0,,RPQOMLNJNHNFFFB08CA,
清水區,房地(土地+建物),臺中市清水區高美路181~210號,86,農,,,1070301,土地1建物1車位0,全,二層,透天厝,農舍,加強磚造,630820,157.38,4,2,2,有,無,4800000,30499,,0,0,,RPOOMLPLMHNFFFB18CA,
沙鹿區,房地(土地+建物),臺中市沙鹿區六路二街31~60號,69.56,住,,,1070301,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1060531,131.14,5,2,5,有,無,9250000,70535,,0,0,,RPRNMLSKMHNFFFB58CA,
沙鹿區,土地,北勢坑段北勢坑小段571~600地號,507,住,,,1070301,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,17177160,33880,,0,0,,RPWNMLSKMHNFFFB09CA,
沙鹿區,土地,北勢坑段北勢坑小段571~600地號,507,住,,,1070301,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,17177160,33880,,0,0,,RPXNMLSKMHNFFFB56CA,
清水區,土地,銀聯段1711~1740地號,30,住,,,1070301,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,380000,12667,,0,0,,RPPNMLRKMHNFFFB28CA,
沙鹿區,土地,竹林段犁份小段61~90地號,880,住,,,1070301,土地11建物0車位0,,,其他,,,,0,0,0,0,有,無,28000000,31818,,0,0,,RPQNMLRKMHNFFFB38CA,
沙鹿區,房地(土地+建物),臺中市清水區中清路八段421~450號,161.74,住,,,1070301,土地11建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,790905,269.44,5,3,4,有,有,8500000,31547,,0,0,,RPTNMLRKMHNFFFB68CA,
梧棲區,土地,南簡段211~240地號,1535,住,,,1070301,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,58042107,37812,,0,0,,RPVNMLRKMHNFFFB88CA,
沙鹿區,土地,成衣段511~540地號,28.65,住,,,1070201,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,1851077,64610,,0,0,,RPOOMLRKMHNFFFB28CA,
沙鹿區,土地,南勢坑段埔子小段841~870地號,410,其他,,,1070301,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,1595720,3892,,0,0,(包含)公共設施保留地之交易。,RPSOMLTKMHNFFFB88CA,
沙鹿區,土地,中清段751~780地號,529.65,農,,,1070301,土地8建物0車位0,,,其他,,,,0,0,0,0,有,無,10000000,18880,,0,0,,RPPNMLNLMHNFFFB97CA,
沙鹿區,房地(土地+建物),臺中市沙鹿區保成五街91~120號,89.54,住,,,1070301,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1050125,193.02,4,3,3,有,有,12200000,63206,,0,0,,RPRNMLNLMHNFFFB18CA,
東勢區,土地,大茅埔段5101~5130地號,2510,,山坡地保育區,農牧用地,1070301,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,3700000,1474,,0,0,,RPPNMLRKMHNFFGB38CA,
東勢區,土地,高簡段1081~1110地號,335.34,其他,,,1070301,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,6500000,19383,,0,0,,RPQNMLRKMHNFFGB48CA,
沙鹿區,土地,太平段571~600地號,353.38,工,,,1070301,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,7849728,22213,,0,0,,RPQNMLSJNHNFFFB48CA,
沙鹿區,土地,中清段751~780地號,118.79,農,,,1070301,土地7建物0車位0,,,其他,,,,0,0,0,0,有,無,797172,6711,,0,0,本件買賣係?賣人與承買人共同出資由出賣人向政府機關承購後再移轉給承買人之案件。,RPPOMLSJNHNFFFB48CA,
沙鹿區,土地,中清段721~750地號,173.65,農,,,1070301,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,2363781,13612,,0,0,,RPUNMLKKNHNFFFB18CA,
沙鹿區,土地,中清段721~750地號,1440,農,,,1070301,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,21344459,14823,,0,0,,RPVNMLKKNHNFFFB28CA,
沙鹿區,房地(土地+建物),臺中市沙鹿區正德路72巷1~30號,93,住,,,1070301,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1020807,215.87,4,3,5,有,無,12200000,56515,,0,0,,RPTNMLOJNHNFFFB38CA,
東勢區,土地,下新段961~990地號,677.5,農,,,1070301,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,3500000,5166,,0,0,,RPWNMLLJNHNFFGB48CA,
新社區,土地,月湖段121~150地號,1203.12,,特定農業區,農牧用地,1070301,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,4800000,3990,,0,0,,RPPNMLNLMHNFFGB08CA,
新社區,房地(土地+建物),臺中市東勢區東湖街二段326巷26弄1~30號,91.79,,特定農業區,甲種建築用地,1070301,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,860128,150.46,3,2,3,有,無,4500000,29908,,0,0,,RPTNMLOLMHNFFGB58CA,
和平區,土地,南勢段1801~1830地號,1000,,山坡地保育區,農牧用地,1070401,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,150000,150,,0,0,,RPUNMLOLMHNFFGB68CA,
東勢區,房地(土地+建物),臺中市東勢區東和街271~300號,84.72,住,,,1060501,土地5建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1060118,194.66,4,3,4,有,無,8500000,43666,,0,0,,RPPNMLQLMHNFFGB38CA,
東勢區,房地(土地+建物),臺中市東勢區泰昌二街53巷1~30號,84.94,住,,,1070301,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,780110,197.92,3,2,2,有,無,5699999,28800,,0,0,本件係購買財政部國有財產署中區分署代為標售之不動產,RPQNMLQLMHNFFGB48CA,
大雅區,房地(土地+建物)+車位,臺中市大雅區雅環路二段113巷1~30號,22.4,住,,,1070301,土地1建物1車位1,一層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,800828,121.3,4,1,2,有,有,5700000,46991,坡道平面,15.48,0,,RPQNMLQKMHNFFHB48CA,
大雅區,房地(土地+建物),臺中市大雅區民生路四段136巷115弄31~60號,108.11,住,,,1070301,土地4建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1030218,180.58,5,2,4,有,無,10500000,58146,,0,0,,RPWNMLNKMHNFFHB78CA,
潭子區,房地(土地+建物),臺中市潭子區得福街121~150號,14.45,住,,,1070301,土地1建物1車位0,三層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,811025,116.98,3,2,2,有,有,4600000,39323,,0,0,,RPTNMLSKMHNFFHB98CA,
大雅區,房地(土地+建物)+車位,臺中市大雅區學府路467巷1~30號,26.29,住,,,1070301,土地1建物1車位1,五層,十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050613,148.65,3,2,2,有,有,9250000,62227,坡道機械,0,0,,RPVNMLSKMHNFFHB56CA,
大雅區,土地,自強段2011~2040地號,150,,特定農業區,農牧用地,1070101,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,3176250,21175,,0,0,,RPWNMLSKMHNFFHB66CA,
潭子區,房地(土地+建物),臺中市潭子區中興路121~150號,7.66,住,,,1070301,土地1建物1車位0,六層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,950610,79.07,2,2,1,有,有,4430000,56026,,0,0,,RPRNMLQLMHNFFHB68CA,
大雅區,房地(土地+建物)+車位,臺中市大雅區雅潭路四段661巷31~60號,29.66,住,,,1070301,土地1建物1車位1,三層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1030224,164.57,3,2,2,有,有,8500000,51650,坡道平面,25.98,0,,RPVNMLQLMHNFFHB09CA,
潭子區,房地(土地+建物)+車位,臺中市潭子區中興路121~150號,12.7,住,,,1070301,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,950610,131.04,3,2,2,有,有,7500000,57234,坡道平面,0,0,,RPQNMLPLMHNFFHB48CA,
潭子區,房地(土地+建物),臺中市潭子區興豐山莊東二巷1~30號,85.64,,鄉村區,乙種建築用地,1070301,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,670925,72,4,2,3,有,無,7250000,100694,,0,0,,RPRNMLPLMHNFFHB58CA,
大雅區,土地,三和段481~510地號,209,農,,,1070301,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,9167200,43862,,0,0,,RPVNMLPLMHNFFHB98CA,
大雅區,房地(土地+建物)+車位,臺中市大雅區中山北路421~450號,13.16,住,,,1070301,土地1建物1車位1,八層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,830412,80.85,3,2,2,有,有,4750000,58751,坡道機械,0,0,含增建或未登記建物。,RPPOMLQKMHNFFHB48CA,
潭子區,房地(土地+建物),臺中市潭子區大富路二段1~30號,96.6,農,,,1070301,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,851216,144.39,3,3,3,有,無,6000000,41554,,0,0,增建部份一併移轉,RPTOMLNLMHNFFHB68CA,
大雅區,房地(土地+建物),臺中市大雅區中山北路199巷1~30號,116.27,住,,,1070301,土地2建物1車位0,全,二層,透天厝,見其他登記事項,加強磚造,771222,128.3,4,2,3,有,無,9300000,72486,,0,0,,RPSOMLSJNHNFFHB98CA,
大雅區,土地,自立段1201~1230地號,22,農,,,1070201,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,531069,24140,,0,0,,RPSNMLOJNHNFFHB48CA,
大雅區,土地,自立段1201~1230地號,643,農,,,1070201,土地11建物0車位0,,,其他,,,,0,0,0,0,有,無,31043397,48279,,0,0,,RPTNMLOJNHNFFHB58CA,
霧峰區,土地,文化段961~990地號,93.19,,山坡地保育區,特定目的事業用地,1070301,土地4建物0車位0,,,其他,,,,0,0,0,0,有,無,2500000,26827,,0,0,,RPOPMLQKMHNFFIB58CA,
大里區,土地,夏田西段721~750地號,734.36,,特定農業區,交通用地,1070401,土地4建物0車位0,,,其他,,,,0,0,0,0,有,無,6660000,9069,,0,0,農業區道路用地,RPPPMLQKMHNFFIB68CA,
大里區,土地,東榮段421~450地號,33.41,住,,,1070301,土地3建物0車位0,,,其他,,,,0,0,0,0,有,無,1880000,56271,,0,0,含未登記建物。,RPUPMLQKMHNFFIB56CA,
大里區,房地(土地+建物),臺中市大里區永大街210巷1~30號,104.31,住,,,1070201,土地2建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,940729,240.62,4,3,4,有,無,19500000,81041,,0,0,房屋含增建未保存登記部分，停車空間及室內裝修器具等一併買賣在內。,RPTPMLSKMHNFFIB66CA,
大里區,房地(土地+建物)+車位,臺中市大里區公教街31~60號,11.24,,鄉村區,乙種建築用地,1070301,土地1建物1車位1,五層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,841027,76.24,2,2,1,有,有,3750000,49187,坡道機械,0,0,,RPPOMLTKMHNFFIB88CA,
烏日區,房地(土地+建物)+車位,臺中市烏日區中山路一段511~540號,13.72,住,,,1070301,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040925,136.88,3,2,2,有,無,8200000,59906,坡道平面,15.09,0,,RPQOMLTKMHNFFIB98CA,
大里區,房地(土地+建物),臺中市大里區好來五街125巷1~30號,111.77,,鄉村區,乙種建築用地,1061201,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,691228,111.04,2,1,2,有,無,6600000,59438,,0,0,,RPQPMLOLMHNFFIB68CA,
霧峰區,房地(土地+建物),臺中市霧峰區中正路541~570號,123.38,工,,,1070301,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,700215,191.04,5,2,3,有,無,12000000,62814,,0,0,,RPQNMLPLMHNFFIB58CA,
烏日區,房地(土地+建物),臺中市烏日區中山路二段260巷31~60號,18.78,商,,,1070301,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,741225,92.81,3,2,2,有,無,2450000,26398,,0,0,,RPRNMLPLMHNFFIB68CA,
大里區,房地(土地+建物)+車位,臺中市大里區新生路151~180號,36.69,住,,,1070201,土地1建物1車位1,一層，二層，三層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,940415,210.39,4,2,3,有,有,9880000,46960,坡道平面,32.76,0,,RPVNMLPLMHNFFIB09CA,
烏日區,土地,中華段691~720地號,21.78,其他,,,1070301,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,330000,15152,,0,0,(包含)公共設施保留地之交易。,RPOPMLOLMHNFFIB48CA,
大里區,房地(土地+建物),臺中市大里區永興路31~60號,15.7,住,,,1070301,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,710616,64.15,2,2,2,有,無,2200000,34295,,0,0,親友、員工或其他特殊關係間之交易。,RPPNMLQJNHNFFIB48CA,
霧峰區,房地(土地+建物),臺中市霧峰區中正路307巷1~30號,93.06,,特定農業區,甲種建築用地,1070101,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,630730,105.52,0,0,2,無,無,3000000,28431,,0,0,,RPUNMLSJNHNFFIB56CA,
霧峰區,土地,峰北段1~30地號,130,,鄉村區,乙種建築用地,1070301,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,2000000,15385,,0,0,,RPVNMLSJNHNFFIB66CA,
霧峰區,房地(土地+建物),臺中市霧峰區曾厝街91~120號,118,住,,,1070301,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,931208,257.02,5,3,4,有,無,14100000,54860,,0,0,,RPVNMLRJNHNFFIB56CA,
霧峰區,土地,南勢西段121~150地號,50.54,,鄉村區,乙種建築用地,1070301,土地3建物0車位0,,,其他,,,,0,0,0,0,有,無,1800000,35615,,0,0,含未保存建物,RPPPMLTJNHNFFIB98CA,
太平區,房地(土地+建物),臺中市太平區長安路61~90號,76.02,,鄉村區,乙種建築用地,1070301,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1051017,165.1,5,2,3,有,無,13500000,81769,,0,0,,RPWNMLQKMHNFFJB66CA,
太平區,房地(土地+建物)+車位,臺中市太平區大仁街1~30號,28.52,住,,,1070301,土地1建物1車位1,十二層，見其他登記事項,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1041123,211.01,4,2,2,有,有,9200000,43600,坡道平面,24.46,0,,RPXNMLQKMHNFFJB76CA,
太平區,房地(土地+建物),臺中市太平區光興路1165巷32弄1~30號,95.32,,鄉村區,乙種建築用地,1070301,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,691120,107.1,3,2,2,有,無,1450000,13539,,0,0,親友、員工或其他特殊關係間之交易。,RPUNMLRKMHNFFJB56CA,
太平區,房地(土地+建物),臺中市太平區建成街110巷1~30號,42.5,住,,,1070301,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1040824,134.97,4,2,3,有,無,8350000,61866,,0,0,,RPPNMLNLMHNFFJB38CA,
太平區,房地(土地+建物)+車位,臺中市太平區立文街181~210號,16.92,住,,,1070301,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060930,161.11,3,2,2,有,有,7800000,48414,坡道平面,31.06,0,,RPVOMLRJNHNFFJB76CA,
太平區,土地,新福段241~270地號,403.01,住,,,1070301,土地3建物0車位0,,,其他,,,,0,0,0,0,有,無,16000000,39701,,0,0,,RPQNMLTJNHNFFJB98CA,
太平區,房地(土地+建物),臺中市太平區宜信街52巷1~30號,87.41,住,,,1070301,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,851114,145.9,7,3,4,有,無,8750000,59973,,0,0,,RPVNMLMJNHNFFJB78CA,
龍井區,房地(土地+建物),臺中市龍井區新興路31~60號,59.57,,鄉村區,乙種建築用地,1070301,土地1建物1車位0,一層，二層，三層，地下層,八層,店面(店鋪),見其他登記事項,鋼筋混凝土造,820731,201.72,5,2,4,有,有,14500000,71882,,0,0,,RPSNMLPLMHNFFKB98CA,
龍井區,房地(土地+建物),臺中市龍井區龍北路391巷95弄1~30號,123,住,,,1070301,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1020517,290.3,0,0,0,無,無,16800000,57871,,0,0,,RPPNMLLLMHNFFKB28CA,
西屯區,房地(土地+建物)+車位,臺中市西屯區寧夏東三街1~30號,24.1,住,,,1070101,土地1建物1車位1,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,820119,152.01,4,2,2,有,有,2000000,13157,坡道機械,0,0,親友、員工或其他特殊關係間之交易。,RPPOMLRLMHNFFCB28DA,
西屯區,房地(土地+建物),臺中市西屯區東大路ㄧ段391~420號,7.82,住,,,1070201,土地1建物1車位0,十四層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840121,85.31,2,1,1,有,有,3570000,41847,,0,0,,RPXOMLLKNHNFFCB48DA,
新社區,土地,月湖段901~930地號,702.1,,一般農業區,農牧用地,1070301,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,2190000,3119,,0,0,,RPSNMLRKMHNFFGB78DA,
東勢區,土地,東勢段石角小段1~30地號,1829,,特定農業區,農牧用地,1070101,土地3建物0車位0,,,其他,,,,0,0,0,0,有,無,11065450,6050,,0,0,,RPRNMLSKMHNFFGB78DA,
潭子區,土地,栗林段1~30地號,22.85,其他,,,1070401,土地3建物0車位0,,,其他,,,,0,0,0,0,有,無,1122438,49122,,0,0,臺中市政府協議價購案,RPRNMLRKMHNFFHB78DA,
大里區,房地(土地+建物)+車位,臺中市大里區愛心三街1~30號,26.48,住,,,1070301,土地1建物1車位1,六層,六層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,800630,125.51,3,2,2,有,有,1277460,10178,升降平面,0,0,一等親交易,RPSQMLSJNHNFFIB76DA,
太平區,土地,茶寮段61~90地號,953.81,,山坡地保育區,農牧用地,1070101,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,2000000,2097,,0,0,親友、員工或其他特殊關係間之交易。,RPTNMLTJNHNFFJB76DA,
北屯區,房地(土地+建物),臺中市北屯區和祥街33巷1~30號,22.61,住,,,1070301,土地1建物1車位0,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,800618,101.95,3,1,2,有,有,4460000,43747,,0,0,親友、員工或其他特殊關係間之交易。,RPVNMLPLMHNFFBB58EA,
西區,房地(土地+建物),臺中市西區日進街91~120號,7.8,住,,,1070301,土地1建物2車位0,八層,八層,套房(1房1廳1衛),住家用,鋼筋混凝土造,830208,62.3,2,0,2,有,有,2600000,41734,,0,0,,RPVOMLOLMHNFFAB48EA,
豐原區,土地,新綠山段1~30地號,198.5,,山坡地保育區,暫未編定,1070101,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,125600,633,,0,0,向政府機關承購之案件。,RPTNMLRJNHNFFDB58DA,
